id	species	dom_status	organ	replicate	dry_mass	humid_mass	in	ic	icn	ca	mg	mn	p	tannins	notes
1	ave	w	leaf	1	0.1751	0.9587	1.5943	39.671	24.8830	1.695857596	1.945576026	0.004043367	7.168637821	7.80026884	
2	ave	w	leaf	2	0.1254	0.6311	1.7323	39.486	22.7940	1.35923449	2.187572181	0.005952446	9.920764095	6.478547196	
3	ave	w	leaf	3	0.176	1.0462	1.7037	39.193	23.0046	1.907844951	2.189442482	0.006744508	7.30041769	8.213952557	
4	ave	w	root	1	0.2145	1.0325	1.4828	41.289	27.8453	0.301884505	3.263543498	0.156545058	4.412736626	-0.781472456	
5	ave	w	root	2	0.3053	1.3625	2.0455	41.521	20.2987	0.455252425	2.093227461	0.123099956	3.533035928	-0.379164654	
6	ave	w	root	3	0.4937	1.9479	2.0858	40.091	19.2209	0.742593093	1.916056184	0.205465178	1.752350478	-0.936220167	
7	ave	c	leaf	1	0.0496	0.2037	1.4442	37.055	25.6578	2.797904956	2.146698856	0.008390773	13.20264663	1.928551789	
8	ave	c	leaf	2	0.0511	0.1876	1.6593	37.15	22.3890	2.622253616	1.99704952	0.000962721	15.538192	5.265050311	
9	ave	c	leaf	3	0.0549	0.2512	1.8359	38.04	20.7201	2.937842125	1.992264946	0.014213307	11.39510899	4.247915159	
10	ave	c	root	1	0.3403	1.0965	1.486	38.015	25.5821	0.199642741	2.827781914	0.374292782	5.430499307	-1.005074906	
11	ave	c	root	2	0.2544	0.9398	1.7467	39.4095	22.5623	2.853258122	2.244572385	0.065523328	7.14808104	14.65090362	
12	ave	c	root	3	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	
13	tri	w	leaf	1	0.0563	0.2097	1.4954	38.148	25.5102	1.168124501	1.37320201	-0.009516245	1.829137931	0.920572131	
14	tri	w	leaf	2	0.0827	0.3324	1.4711	39.601	26.9193	0.987438806	1.412775133	-0.006871371	1.930902098	0.084847681	
15	tri	w	leaf	3	0.0583	0.2407	1.3963	38.63	27.6660	1.250613366	1.44414942	-0.004657934	1.684027062	0.262673844	
16	tri	w	root	1	0.0239	0.0838	1.9046	43.502	22.8405	0.864668979	0.750638369	0.04165899	0.949235294	0.258929686	
17	tri	w	root	2	0.0517	0.2336	1.7707	43.773	24.7207	0.304138335	0.558600021	0.210424861	1.172828526	0.250720286	
18	tri	w	root	3	0.0265	0.1417	1.9418	43.588	22.4472	0.489146937	0.631649877	0.098549768	1.092903226	0.083960362	
19	tri	c	leaf	1	0.0445	0.2065	0.67073	34.641	51.6467	6.219758194	2.313191096	0.005823133	1.560454545	0.523583828	
20	tri	c	leaf	2	0.0384	0.197	0.85706	33.876	39.5258	4.628846921	2.620398434	0.008662997	1.330127175	0.763207273	
21	tri	c	leaf	3	0.0285	0.1279	0.77934	31.151	39.9710	4.862804878	2.147977081	0.000266995	1.718079385	1.590192901	
22	tri	c	root	1	0.05	0.2389	1.3007	36.822	28.3094	0.04871651	1.338619918	0.399675961	1.509622771	-1.038407787	
23	tri	c	root	2	0.0351	0.1625	1.7153	38.457	22.4200	0.280677014	1.432466891	0.474003923	4.803632873	-0.877889643	
24	tri	c	root	3	0.0324	0.1466	1.4166	38.956	27.4996	0.234937032	1.81937356	0.505333924	1.741613111	-0.097247962	
25	sor	w	leaf	1	0.088	0.3465	0.69129	36.074	52.1836	8.149745666	1.269410176	0.021427481	0.562569659	1.27042404	
26	sor	w	leaf	2	0.0867	0.3108	0.54211	37.661	69.4711	6.011050205	1.104234104	0.023462122	0.491125512	2.768560366	
27	sor	w	leaf	3	0.0944	0.3269	0.625995	36.9295	58.9933	5.078911439	0.837659054	0.012975339	0.382150997	16.29420531	
28	sor	w	root	1	0.0264	0.1616	1.216	37.955	31.2130	0.662705951	1.010109433	0.110292039	0.712191601	-0.869071313	
29	sor	w	root	2	0.0196	0.0725	1.1922	39.311	32.9735	2.206239417	1.37140579	0.054536993	0.61017638	0.257523567	
30	sor	w	root	3	0.0184	0.1009	1.07	43.939	41.0645	1.613436507	0.710563558	0.034674022	0.331642743	6.197776071	
31	sor	c	leaf	1	0.086	0.326	0.47644	35.819	75.1805	12.00247358	1.56008149	0.019823686	0.313713376	6.457319567	
32	sor	c	leaf	2	0.0745	0.2689	0.52221	36.669	70.2189	16.27649362	3.283728229	0.017609507	0.213606771	7.979886132	99_y_64_extras
33	sor	c	leaf	3	0.0617	0.2439	0.65203	35.517	54.4714	11.15801775	2.602772062	0.03077842	0.22862963	7.182092603	otra_parte_de_la_misma_hoja_mas_cercana_al_nervio_medio_181
34	sor	c	root	1	0.0202	0.1292	1.1134	35.642	32.0119	0.341965924	1.782206789	0.120255811	0.468634146	-0.860920476	
35	sor	c	root	2	0.0452	0.3438	1.0907	42.404	38.8778	0.554667506	1.205858931	0.049646938	0.541533923	0.64095812	
36	sor	c	root	4	0.0611	0.2961	1.126	35.684	31.6909	0.29934751	1.036870496	0.144816163	0.444859467	0.913968002	
37	zea	w	leaf	1	0.0931	0.3208	0.51604	36.875	71.4576	5.71183179	2.212802932	0.01190038	0.89066358	3.204093829	
38	zea	w	leaf	2	0.0706	0.2123	0.53069	36.437	68.6597	5.57100773	0.746350393	-0.005771911	0.175912577	1.213309785	
39	zea	w	leaf	3	0.0593	0.2485	0.44296	38.959	87.9515	5.170494536	2.63819972	0.003308003	0.10877025	1.811545306	
40	zea	w	root	1	0.0505	0.2705	1.0362	41.63	40.1756	0.148092746	1.16260419	0.113483909	0.5312749	-1.203268665	
41	zea	w	root	2	0.0977	0.6293	1.19	42.56	35.7647	0.50574311	1.438046057	0.134260108	1.149031165	0.080338127	
42	zea	w	root	3	0.0666	0.4077	1.6914	40.6835	24.0532	0.20591445	1.054130329	0.095942162	1.281408189	-0.995798946	
43	zea	c	leaf	1	0.1061	0.3327	0.88341	37.861	42.8578	0.237482165	1.041401675	0.089057038	1.322215278	-1.244931433	
44	zea	c	leaf	2	0.1266	0.4245	0.73954	38.547	52.1229	2.507235614	1.107299296	0.020897512	1.313009138	1.263059263	
45	zea	c	leaf	3	0.105	0.3199	0.81156	36.439	44.8999	2.81854882	0.984803644	0.026005929	1.397699869	1.188262537	
46	zea	c	root	1	0.0816	0.5756	1.3441	42.546	31.6539	NA	NA	NA	NA	NA	
47	zea	c	root	2	0.0395	0.33	1.1638	44.662	38.3760	0.66689682	0.911107301	0.074975515	0.98186	0.418993687	ID=D
48	zea	c	root	3	0.0803	0.4716	1.1794	40.598	34.4226	0.138108862	1.153893578	0.086454694	1.195160256	6.380491791	ID=C
49	hel	w	leaf	1	0.1327	0.4508	1.1745	32.893	28.0060	47.95441434	7.171113493	0.077954104	1.383831341	5.282718371	
50	hel	w	leaf	2	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	
51	hel	w	leaf	3	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	
52	hel	w	root	1	0.0359	0.2762	1.8544	41.993	22.6451	2.400811258	4.062320027	0.104450946	1.584250335	-0.171562871	
53	hel	w	root	2	0.0227	0.1501	2.1015	40.72	19.3766	2.541399311	3.421819444	0.132420491	6.238807947	0.853151241	
