id,microcosm_id,microcosm_random_id,sp,pfg,dom_status,organ,sp_combo,pfg_combo,sp_richness,pfg_number,litter_bag_id,harvest_date,soil_mass,im,im_microcosm,fm,fm_microcosm,ml,ml_microcosm,filter_1,notes
1,1,164,ave,gc3,w,leaf,ave,gc3,1,1,1,13/01/2020,60.0159,0.5031,0.5031,0.2369,0.2369,52.91194594,52.91194594,1,NA
2,2,139,ave,gc3,w,leaf,ave,gc3,1,1,3,10/01/2020,60.0015,0.4932,0.4932,0.1922,0.1922,61.03000811,61.03000811,1,NA
3,3,54,ave,gc3,w,leaf,ave,gc3,1,1,2,08/01/2020,60.0335,0.5055,0.5055,0.2231,0.2231,55.86547972,55.86547972,1,NA
4,4,441,ave,gc3,w,root,ave,gc3,1,1,3,23/01/2020,59.9842,0.5028,0.5028,0.3876,0.3876,22.91169451,22.91169451,1,fm_9/8/2020
5,5,74,ave,gc3,w,root,ave,gc3,1,1,1,08/01/2020,60.0189,0.5029,0.5029,0.2041,0.2041,59.41539073,59.41539073,1,fm_9/7/2020
6,6,362,ave,gc3,w,root,ave,gc3,1,1,2,21/01/2020,59.9786,0.5055,0.5055,0.3384,0.3384,33.05637982,33.05637982,1,fm_9/7/2020
7,7,280,hel,forb,w,leaf,hel,forb,1,1,1,16/01/2020,60.0393,0.5088,0.5088,0.3277,0.3277,35.59355346,35.59355346,1,NA
8,8,252,hel,forb,w,leaf,hel,forb,1,1,1,15/01/2020,60.0351,0.5059,0.5059,0.2485,0.2485,50.87962048,50.87962048,1,NA
9,9,47,hel,forb,w,leaf,hel,forb,1,1,1,08/01/2020,60.0257,0.5056,0.5056,0.2966,0.2966,41.33702532,41.33702532,1,NA
10,10,427,hel,forb,w,root,hel,forb,1,1,1,23/01/2020,59.9908,0.4956,0.4956,0.3351,0.3351,32.38498789,32.38498789,1,fm_9/8/2020
11,11,6,hel,forb,w,root,hel,forb,1,1,2,08/01/2020,59.9912,0.5087,0.5087,0.232,0.232,54.39355219,54.39355219,1,fm_9/7/2020
12,12,380,hel,forb,w,root,hel,forb,1,1,3,21/01/2020,60.0141,0.5011,0.5011,0.3878,0.3878,22.61025743,22.61025743,1,fm_9/8/2020
13,13,378,vic,legume,w,leaf,vic,legume,1,1,1,21/01/2020,59.9949,0.5055,0.5055,0.3059,0.3059,39.48565776,39.48565776,1,NA
14,14,103,vic,legume,w,leaf,vic,legume,1,1,3,10/01/2020,59.9853,0.4975,0.4975,0.2461,0.2461,50.53266332,50.53266332,1,NA
15,15,122,vic,legume,w,leaf,vic,legume,1,1,2,10/01/2020,60.0006,0.5044,0.5044,0.2055,0.2055,59.25852498,59.25852498,1,NA
16,16,392,vic,legume,w,root,vic,legume,1,1,3,22/01/2020,60.0235,0.5063,0.5063,0.3721,0.3721,26.5060241,26.5060241,1,fm_9/8/2020
17,17,71,vic,legume,w,root,vic,legume,1,1,2,08/01/2020,60.0506,0.5057,0.5057,0.324,0.324,35.93039351,35.93039351,1,fm_9/7/2020
18,18,94,vic,legume,w,root,vic,legume,1,1,1,10/01/2020,59.9975,0.4947,0.4947,0.2006,0.2006,59.45017182,59.45017182,1,fm_9/7/2020
19,19,462,sol,forb,w,leaf,sol,forb,1,1,2,24/01/2020,59.9976,0.5008,0.5008,0.3601,0.3601,28.09504792,28.09504792,1,NA
20,20,39,sol,forb,w,leaf,sol,forb,1,1,1,08/01/2020,60.0263,0.4995,0.4995,0.2475,0.2475,50.45045045,50.45045045,1,NA
21,21,282,sol,forb,w,leaf,sol,forb,1,1,3,16/01/2020,59.9361,0.4947,0.4947,0.3258,0.3258,34.14190418,34.14190418,1,NA
22,22,125,sol,forb,w,root,sol,forb,1,1,1,10/01/2020,60.0232,0.5012,0.5012,0.2532,0.2532,49.48124501,49.48124501,1,fm_9/7/2020
23,23,203,sol,forb,w,root,sol,forb,1,1,3,14/01/2020,59.9845,0.4949,0.4949,0.2952,0.2952,40.35158618,40.35158618,1,fm_9/7/2020
24,24,305,sol,forb,w,root,sol,forb,1,1,2,17/01/2020,60.0222,0.4961,0.4961,0.2328,0.2328,53.07397702,53.07397702,1,fm_9/8/2020
25,25,383,sor,gc4,w,leaf,sor,gc4,1,1,2,21/01/2020,59.9881,0.4937,0.4937,0.3211,0.3211,34.96050233,34.96050233,1,NA
26,26,5,sor,gc4,w,leaf,sor,gc4,1,1,1,08/01/2020,59.9879,0.5002,0.5002,0.3555,0.3555,28.92842863,28.92842863,1,NA
27,27,326,sor,gc4,w,leaf,sor,gc4,1,1,3,20/01/2020,60.0028,0.5015,0.5015,0.3598,0.3598,28.2552343,28.2552343,1,NA
